Reference,Customer,Part,Description,PONUM,VENDOR,QTY,CODE,ETA,COMPLETE,STATUS,NOTES,PRICE,SUBASSEMBLY,
EI-13946-TK,Gemcor,MISC PARTS,"ES220201-A, Flat Pattern, Sand Blast, Powder Coat",MT-220622-2,Globe Trailers,4,Order,,checked,[Remove],"ES220201-A
--------------
Base Bottom Sheet Metal",$390.00 ,1-BASE,
EI-13946-TK,Gemcor,ES220201-B,Base Tubes,,,4,Machine,,,MTL IN HOUSE,STEEL,$125.00 ,1-BASE,
EI-13946-TK,Gemcor,ES220201-Q**,Base Electrical Cover **,,,2,Machine,,,Redesigning,STEEL,$150.00 ,1-BASE,
EI-13946-TK,Gemcor,ES180201-A-F,Base Foot Lock Mount,,,8,Machine,,,MTL IN HOUSE,ALUMINUM (1.25 X 2 X 4.75),$40.00 ,1-BASE,
EI-13946-TK,Gemcor,ETP024,Rear Caster Mount,,,8,Inventory,,,,,$20.00 ,1-BASE,
EI-13946-TK,Gemcor,ES220201-P,Base Caster Control Arms,,Lample,8,Order,,,,STAINLESS STEEL,$50.00 ,1-BASE,
EI-13946-TK,Gemcor,ETP128,Rear Caster,,,8,Inventory,,,,,$47.81 ,1-BASE,
EI-13946-TK,Gemcor,62805K460,HI-CAP Leveling...,,McMaster,8,Order,,,,,$10.00 ,1-BASE,
EI-13946-TK,Gemcor,8880T952,*** U-Bolts,,McMaster,8,Order,,,,,$2.00 ,1-BASE,
EI-13946-TK,Gemcor,*** Handle Bar,*** Handle Bar,,Lample,2,Order,,,,**Price based off Ultramet,$100.00 ,1-BASE,
EI-13946-TK,Gemcor,Junction Box,"Junction Box ( 8 x 8 x 4 )
https://www.rexelusa.com/p/28821/junction-box-nema-4x-screw-cover-8-x-8-x-4/980060066904/8x8x4-jct-box-w-cvr
",,Rexel,2,Order,,,,,$64.67 ,1-BASE,
EI-13946-TK,Gemcor,ETP346,Strain Relief 69915K51,,McMaster,36,Inventory,,,,,$4.00 ,1-BASE,
EI-13946-TK,Gemcor,***Terminal Blocks,***Terminal Blocks,,McMaster,4,Order,,,,,$0.00 ,1-BASE,
EI-13946-TK,Gemcor,CUSTOMER SPEC  MAT,Gemcor Power SUpply RHINO PSM ( PSM24-600S1),EH-220421,Automation Direct,2,Order,8/16/2022,checked,[Remove],"8/17/22 DELIVERED. DB

8/16/22 800-633-0405

8/16/22 Shipped  in 2 pcs Fed Ex tracking # 602711483952, ETA 8/16/22, tracking # 602711483963 ETA 8/16/22. DB

8/9/22 Rec'd email, new ship date 8/18/22. DB 

7/19/22 Called Sue: Expected to ship 9/9/22. DB

7/11/22 Called April for ETA, back ordered expected to ship 9/9/22. DB

6/30/22 New ETA on back order to ship 9/9/22. DB

5/11/22 Confirmed back order for ETA 7/8/22. DB

5/5/22 Called for ETA - back ordered until 7/8/22. DB",$397.00 ,1-BASE,
EI-13946-TK,Gemcor,Power Supply Rail,Din Rail,,McMaster,2,Order,,,,,$10.00 ,1-BASE,
EI-13946-TK,Gemcor,Actuator J21803 ,"30.5"" Stroke Actuators",EH-2202-19,Linak US Inc.,8,Order,5/19/2022,checked,[Remove],"DELIVERED 5/16/22. DB

2/122 Francis handles orders/shipping 502-253-5595, fgibbs@linak-us.com
Judson Harten (sales rep) jharten@linak-us.com, 502-253-5595 office, 502-318-2112 direct .

5/12/22 Called & emailed for ETA. Confirmed order is shipping today. DB

5/6/22 Received updated Confirmation with revised ship date to 5/12/22. DB

5/5/22 Called Judson on direct line, scheduled to ship 5/9/22.  May have container delays out of China. DB 

3/16 Confirmation letter ETA 5/6/22. DB

3/4/22 Original ETA 5/2/22. DB","$1,069.79 ",2-COLUMN,
EI-13946-TK,Gemcor,Programming Cable Kit 0367999,"Programming Cable KitWeb36biz
",EH-2202-19,Linak US Inc.,1,Order,5/19/2022,checked,[Remove],"DELIVERED 5/16/22. DB

2/122 Francis handles orders/shipping 502-253-5595, fgibbs@linak-us.com
Judson Harten (sales rep) jharten@linak-us.com, 502-253-5595 office, 502-318-2112 direct .

5/12/22 Called & emailed for ETA. Confirmed order is shipping today. DB

5/6/22 Received updated Confirmation with revised ship date to 5/12/22. DB

5/5/22 Called Judson on direct line, scheduled to ship 5/9/22. May have container delays out of China. DB  

3/4/22 Original ETA 5/2/22. DB",$111.63 ,2-COLUMN,
EI-13946-TK,Gemcor,Handset HB41000,Hand Pendant,EH-2202-19,Linak US Inc.,1,Order,5/19/2022,checked,[Remove],"DELIVERED 5/16/22. DB

2/122 Francis handles orders/shipping 502-253-5595, fgibbs@linak-us.com
Judson Harten (sales rep) jharten@linak-us.com, 502-253-5595 office, 502-318-2112 direct .

5/19/22 EH-2202-19 – Shipped on 5/12.  Waiting on tracking info. Email from Robert Mote, Inside Sales Engineer, LINAK U.S. Inc.
2200 Stanley Gault Pkwy, Louisville, KY 40223, Tel: (502) 292-5695

5/18/22 LMOM for Jud on ETA's. DB

5/12/22 Called & emailed for ETA. Confirmed order is shipping today. DB

5/6/22 Received updated Confirmation with revised ship date to 5/12/22. DB

5/5/22 Called Judson on direct line, scheduled to ship 5/9/22. May have container delays out of China. DB  

3/4/22 Original ETA 5/2/22. DB
",$66.14 ,2-COLUMN,
EI-13946-TK,Gemcor,EIP424,Ergo I Base Plate,,,8,Inventory,,checked,,MODIFY PLATE,$50.00 ,2-COLUMN,
EI-13946-TK,Gemcor,ES180202-B-G,Column Base Actuator Mount,,,8,Machine,,checked,MTL IN HOUSE,ALUMINUM,$50.00 ,2-COLUMN,
EI-13946-TK,Gemcor,Column Shipping,Each Way,,,2,Order,,checked,,,$200.00 ,2-COLUMN,
